"Qty","Value","Datasheet","Description"
"2","SW_Push","","Push button switch, generic, two pins"
"5","100nf","","Unpolarized capacitor"
"3","10uf","","Unpolarized capacitor"
"1","4.7uf","","Unpolarized capacitor"
"1","USB_C_Receptacle_USB2.0_16P","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","USB 2.0-only 16P Type-C Receptacle connector"
"1","Conn_01x08","","Generic connector, single row, 01x08, script generated (kicad-library-utils/schlib/autogen/connector/)"
"1","Conn_01x04","","Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)"
"2","5.1k","","Resistor"
"2","10k","","Resistor"
"1","330","","Resistor"
"1","LED","","Light emitting diode"
"1","USBLC6-2SC6","https://www.st.com/resource/en/datasheet/usblc6-2.pdf","Very low capacitance ESD protection diode, 2 data-line, SOT-23-6"
"1","AP2112K-3.3","https://www.diodes.com/assets/Datasheets/AP2112.pdf","600mA low dropout linear regulator, with enable pin, 3.8V-6V input voltage range, 3.3V fixed positive output, SOT-23-5"
"1","STM32F446RETx","https://www.st.com/resource/en/datasheet/stm32f446re.pdf","STMicroelectronics Arm Cortex-M4 MCU, 512KB flash, 128KB RAM, 180 MHz, 1.8-3.6V, 50 GPIO, LQFP64"
